Sr. No.,Today's News,Description,Link,Date,Time
29,Newly-laid stretch of NH-24 caves in,"BAREILLY: A portion of the newly-constructed Bareilly-Sitapur stretch of the NH-24 caved in after heavy rains on Friday. The NHAI restricted movement of vehicles on the highway. The stretch, opened to public in April, became the second such incident this week after a portion of the Agra-Lucknow expressway caved in on Wednesday. 


Mukesh Sharma, project director, NHAI, told TOI, “Incessant rains over the past couple of days led to a major portion on one side of the highway caving in along with major cracks elsewhere.” 

NHAI terminated its contract with Era Infra Engineering Limited, the firm which was assigned construction of the 157km Bareilly-Sitapur stretch of NH-24, on Saturday. NHAI said the firm had stopped construction for several months without giving any information to the authority and made no reply to notices issued to it over the past three monthss.

The firm’s owner, Delhi-based industrialist Hem Singh Bharana, 55, is facing a multi-agency probe by CBI, ED and others for allegedly duping several leading Indian banks and other lending institutions to the tune of over Rs 10,000 crore. He has been accused of borrowing money from banks, defaulting payments and laundering money. 

“To complete the remaining work, we are going to initiate the procedure to float fresh tenders. Besides, the company will also be blacklisted,” Sharma said.

",https://timesofindia.indiatimes.com/india/newly-laid-stretch-of-nh-24-caves-in/articleshow/65275776.cms,5 Aug 2018, 02:53
30,Indore civic body to track officials with GPS watches,"INDORE: Indore Municipal Corporation is gifting watches to heads of departments — to keep an eye on them. These watches are GPS-enabled and will help the municipal commissioner keep track of where officials are, and how much time they spend in office. And yes, they show time, too.


These watches will be handed out by the second week of August but most officials have no clue to it. It will be mandatory for all heads of all departments to wear these watches between 10.30am and 5.30pm — the official working hours.

IMC commissioner Asheesh Singh told TOI that the GPS watches will be compulsory for all additional commissioners, deputy commissioners, executive engineers and assistant engineers of IMC.

The smart watch will upload essential details — like when the official entered office and how much time they were at work or in the field — to the commissioner’s dashboard,” Singh said, adding: “Of course, they will show time and have inbuilt cameras as well.”

“The objective of these watches include prevention of misuse of manual attendance system, and maintaining transparency and accountability in day-to-day work,” Singh said.

Asked how the civic staff would take to it, senior officers told TOI that the HoDs may not have any problem, but middle and lower-level staff could resist if it trickles down to them. 

Singh’s aim is improve administrative efficiency, officials said.

Initially, Indore Municipal Corporation is procuring 300 watches and will pay Rs 300 per year for each, say sources. A central government undertaking, called ITI, will provide these smart watches and end-to-end solutions. Live tracking of the person wearing it is very much possible, said an official. 

“The geo-fencing function of this watch is far more precise than mobile phones,” he explained, adding that Nagpur Municipal Corporation has already introduced these watches under its cleanliness campaign and the idea was appreciated at national level. 


These watches will be handed out by the second week of August but most officials have no clue to it. It will be mandatory for all heads of all departments to wear these watches between 10.30am and 5.30pm — the official working hours.


",https://timesofindia.indiatimes.com/india/indore-civic-body-to-track-officials-with-gps-watches/articleshow/65275760.cms,5 Aug 2018, 10:57
31,"Govt notifies appointments of 3 judges to SC, six chief justices for HCs","NEW DELHI: The Union law ministry notified appointments of three judges for the Supreme Court and six chief justices for High Courts late on Friday, including the elevation of Uttarakhand Chief Justice K M Joseph to the apex court.


The other two elevations to the SC include Chief Justice of Orissa High Court Vineet Saran and Madras HC Chief Justice Indira Banerjee. With Justice Banerjee’s elevation, the apex court will for the first time have three women judges in its 68-year-old history. 

The government has also notified appointment of Chief Justices of the High Courts of Orissa, Jharkhand, Madras, Delhi, J&K and Patna.

Justice Gita Mittal, the acting Chief Justice of Delhi High Court, has been appointed as the Chief Justice of the J&K High Court, becoming the first woman chief justice to head the HC.

Justice Aniruddha Bose, a judge of the Calcutta HC, has been elevated as the chief justice of the Jharkhand HC. He was earlier recommended by the SC collegium for taking over as the CJ of the Delhi HC which the government had returned seeking reconsideration of the collegium on the grounds that being a big HC, it needs an experienced judge to head it.

Justice Rajendra Menon, the Chief Justice of the Patna High Court, has been posted as the new Chief Justice of the Delhi HC; Justice Kalpesh Satyendra Jhaveri, a judge of the Rajasthan HC, has been elevated as the Chief Justice of the Orissa HC in place of Justice Vineet Saran who has been elevated to the Supreme Court.

Justice Vijaya K Tahilramani, a judge of the Bombay HC, has been elevated as the Chief Justice of the Madras HC. She succeeds Justice Indira Banerjee, who has been elevated to the top court. Justice M R Shah of the Gujarat HC has been elevated as Chief Justice of the Patna HC as the incumbent, Justice Menon, will now head the Delhi HC. Justice Hrishikesh Roy of the Kerala HC has been elevated as its Chief Justice.


",https://timesofindia.indiatimes.com/india/govt-notifies-appointments-of-3-judges-to-sc-six-chief-justices-for-hcs/articleshow/65275750.cms,5 Aug 2018, 02:33
32,Man beaten to death over suspicion of cattle theft,"Around 2 km outside the tiny hamlet of Bahrola in Haryana’s Palwal, the blood stains are still evident under the neem tree where a man was tied up and beaten to death in the early hours of Friday. The 25-year-old was allegedly lynched here by a mob of more than 25-30 people on suspicion of cattle theft.


Three brothers, Bir Singh, Prakash and Ram Kishan, are the prime accused in the case. Family members, however, say that another two dozen villagers also participated in the beating of alleged thief. “Would you not retaliate if someone comes to steal in your house?” says Santra Devi the wife of accused Bir Singh.

In the courtyard of the house, where the lynching took place, half a dozen calves and buffaloes are still tied up even as villagers come to make inquiries and even show solidarity. Balesh, wife of another accused Ramkishan, narrated her version of the incident. “Around 3.30 am on Friday, 3 thieves were trying to cut the mosquito nets under which the cattle were kept. Our husbands woke up and tried to catch them. Two escaped, but we caught hold of one of them,” Balesh added. The unidentified victim was then tied up and beaten by the gathered mob during hours. “When we called the police around 5am, he was still alive. Police arrived around 7.00am but didn’t take him to hospital. Doctors arrived later and it was only around 9am that the body was taken away from here,” Santra Devi claimed.

Naresh Kumar, a neighbor who works at a car-wash in Faridabad, said that he only came to know about the incident in the morning. “By the time I reached, the man was already dead. Crowd had beaten him blue and there were marks of his hands and legs being tied.”

The Gujjar-dominated village of Bahrola has around 150-200 families whose primary occupation is farming and cattle rearing. The anger at cattle thieves and police inaction is palpable. “So many gangs of cattle thieves are operating in the area. There have been three thefts in the last 10 days alone. If police do nothing, what do you expect villagers to do?” says Suman Devi, another villager. Villagers claimed that similar cases of cattle thefts were happening in neighboring villages of Phulwari, Silouthi and Bamni khera. 

“Similar pattern was seen during these months in last year. Cattle thieves, wearing knickers and soaked in oil, get active as soon as crops attain a certain height. Calls to police always go unanswered,” said Jeet Ram, another villager whose cattle were stolen 8 days back. 

‘Internal bleeding in the intestine’, and ‘shock and hemorrhage’ have been identified as the cause of death in the initial post mortem report and the deceased has received 15 major internal injuries, investigative officer Suresh Kumar said. “He seems an outsider and not from this region. There was no identity document on him. We have issued his pictures in newspapers. Hopefully we will get some clue soon,” Kumar added. He denied allegations that police reached the spot late.

SHO Sadar police station Devender Singh said police had ruled out the case to be a religiously motivated crime. “One accused is under custody and we will soon nab other two,” Kumar added.

",https://timesofindia.indiatimes.com/india/man-beaten-to-death-over-suspicion-of-cattle-theft/articleshow/65275645.cms,5 Aug 2018, 02:03
33,"Rahul hits out at Nitish, may have shut door on tie-up","NEW DELHI: With Congress president Rahul Gandhi joining the protest of RJD’s GenNext, Tejashwi Yadav, that targeted Bihar chief minister Nitish Kumar for the “Muzaffarpur rapes”, Congress seems to be finally giving up on JD(U) chief as a potential partner.


Despite appeals from JD(U) that Congress stay away from the RJD protest at Jantar Mantar in the capital, Rahul not only showed up but cited the presence of political leaders on the dais as a picture of uniting opposition. More importantly, he took on Nitish Kumar by saying that if he was really ashamed of the incident, he should take expeditious action against the accused.



Kejri, Yechury, Yadav join rape protest

Young Yadav was at his relentless best against Kumar, his bête-noire, setting the tone for the protest which was joined by AAP chief Arvind Kejriwal, CPM leader Sitaram Yechury and JD(U) rebel Sharad Yadav, among others.

The frame at Jantar Mantar came despite the fact that Kumar’s emissaries have been in touch with Congress over his restiveness with ally BJP: an overture which some in Congress seemed eager to reciprocate in order to prevent the saffron party from repeating its sweep of 40 LS seats in 2014.

JD(U) won the assembly elections in partnership with RJD and Congress, but last year quit the alliance and joined hands with BJP. Since the break-up, Yadav has kept up a strong onslaught against Kumar and repeatedly said that RJD’s doors were shut on “dhokhebaaz chacha”. Saturday’s protest suggested that Congress too may be veering towards RJD’s position on JD(U). Unlike RJD, Congress has believed that despite the “betrayal”, the opposition would notch a strong political gain in the perception war against BJP ahead of the 2019 elections if Kumar switched sides again.

Weakening BJP is more important, ran Congress’s argument, than smarting under Kumar’s “betrayal”.

",https://timesofindia.indiatimes.com/india/rahul-hits-out-at-nitish-may-have-shut-door-on-tie-up/articleshow/65275223.cms,5 Aug 2018, 00:50
34,"Chandrayaan-2 launch put off: India, Israel in lunar race for 4th position","NEW DELHI: India’s most ambitious Chandrayaan-2 mission, which was earlier scheduled for October first week, has been postponed till December, according to an Isro source. The mission, which was originally scheduled for April 23 this year, has been deferred for the second time. With Israel too planning to launch a moon mission in December, it will be a race between Tel Aviv and New Delhi for the fourth position in the world to land on the moon. Till now, US, Russia and China have been able to soft-land its spacecraft on the mission’s surface.


Unlike the Chandrayaan-1 programme in 2008 that involved only orbiting around the moon, Chandrayaan-2 is a much complicated mission as it involves an orbiter, a lander and a rover. The mission involves a soft-landing on the lunar surface and a rover that will walk and analysis the content on the moon’s surface. Being India’s most challenging mission, Isro doesn’t want to take chances and taking time to fix all glitches in the lunar mission. The reason Isro is treading cautiously with this high-profile mission is because it had witnessed two satellite mission failures in the last one year — navigation satellite IRNSS-1H got stuck in the heat shield during its launch last August and Gsat-6A communication satellite went out of control after it was launched in April this year.

As the weight of the Chandrayaan-2 spacecraft has increased, according to the source, GSLV Mk III or Isro’s ‘fat boy’ will now carry the spacecraft as it has the lifting capability of over four tonne. According to the earlier plan, GSLV Mk II which just three-tonne lifting capability was supposed to carry the payload.

Israeli nonprofit SpaceIL and Israel Aerospace Industries will launch its mission to the moon by the end of this year. Describing its mission, SpaceIL, in a video, said it involved a 1,300-pound lander piggybacking on an Elon Musk-owned SpaceX Falcon 9 rocket, whose primary payload is a communications satellite. The spacecraft will orbit the moon for almost two months before landing, where it will record and send video and conduct some small science observations using a magnetometer.

Describing India’s Chandrayaan-2 mission, the Isro chairman had earlier told TOI, “It is totally an indigenous programme. All components of the Chandrayaan-2 mission, including an orbiter, a lander and a rover, have been developed in the country. There integration is going on and they all are undergoing rigorous tests. On reaching the moon’s orbit, the lander will get detached from the orbiter and soft-land on the lunar surface. The six-wheeled rover fixed within the lander will get detached and move on the lunar surface for around 100 metres. It will spend 14 Earth days (one moon day) and analyse the content. It will also take photos of the moon’s surface and relay the images back to the Earth via the orbiter within 15 minutes.”

",https://timesofindia.indiatimes.com/india/chandrayaan-2-launch-put-off-india-israel-in-lunar-race-for-4th-position/articleshow/65275012.cms,5 Aug 2018, 01:10
35,Central and state governments sit over 24 lakh vacancies amid debate over job drought,"In time of a raging debate over jobless growth, nearly 24 lakh posts are lying vacant with the central and state governments, data compiled from answers to various questions in Parliament show.


A Rajya Sabha question answered on February 8 shows that the largest chunk is the over 10 lakh vacant positions for teachers in elementary (9 lakh) and secondary schools (1.1 lakh). 

Apart from the vacancies in the centrally sponsored Sarva Shiksha Abhiyan, which provides assistance to states and Union territories to maintain the desired pupil-teacher ratio under right to education norms, the bulk of these vacancies are in the domain of the states and Union territory administrations.




A Lok Sabha question answered on March 27 quoting figures from the Bureau of Police Research & Development stated that there are 4.4 lakh vacancies in civil and district armed police.

The same source showed that an additional 90,000-odd positions vacant in state armed police, taking the total vacancy in police forces to 5.4 lakh across the country. 

Law and order being a state subject, these positions are primarily under the state governments.


Railways has 2.5L vacancies among non-gazetted staff 
Incidentally, among major economies, India has one of the lowest police-to-population ratios. This is often held to be a major factor in larger law-and-justice issues like pendency of cases and lower conviction rates because of slapdash investigations done by overburdened police. It is not surprising that the judiciary, with crores of pending cases, is also running well below full strength. A Lok Sabha question answered on July 18 points at over 5,800 vacancies in courts.

Answers to Rajya Sabha questions on March 14 and 19 and a Lok Sabha question on April 4 showed that there are over 1.2 lakh vacant positions in the defence services and paramilitary forces. Over 61,000 of these are in paramilitary forces while the aggregate figure for the three defence forces is over 62,000.

Then there are 2.5 lakh vacant posts among non-gazetted staff in the railways, the answer to a Rajya Sabha question on March 16 revealed. It, however, stated that two notifications have been issued in February to fill more than 89,000 of these vacancies.

A Lok Sabha question answered on March 28 points at over 54,000 vacancies in the postal department, another major government employer.

The health sector is another casualty of vacancies in sanctioned positions. A Rajya Sabha question answered on February 6 shows that there are about 1.5 lakh vacancies in these centres. About 16,000 are of doctors or specialists while others include nursing staff.

",https://timesofindia.indiatimes.com/india/central-and-state-governments-sit-over-24-lakh-vacancies-amid-debate-over-job-drought/articleshow/65274821.cms,5 Aug 2018, 08:03
36,Discrepancies need not discredit child victims' depositions in sexual abuse cases: HC,"NEW DELHI: The Delhi High Court today held that investigating agencies can record multiple statements of a child victim of sexual abuse and a contradictory initial account of the incident would not be a reason to disbelieve subsequent versions by the minor.


A bench of Acting Chief Justice Gita Mittal and Justice Anu Malhotra said that the multiple statements should be carefully scrutinized by the trial courts to ensure that complete justice is done.

The bench said that children ""do not disclose in one go but do so in piece meal"".

The court also said that under the Protection of Children from Sexual Offences (POCSO) Act, which was enacted to effectively address sexual abuse and sexual exploitation of children, a statement about the incident of sexual abuse can be made only to a police officer or a magistrate.

""Provisions of the POCSO Act or the Juvenile Justice Act do not contemplate any report to be made by a counsellor,"" the bench said.

It added that both laws make it ""explicitly clear"" that a report or notes of a counsellor or any person or expert recognized under the two Acts ""are confidential in nature and the same cannot be made a part of the charge sheet or otherwise (be included) on the trial court record"". 

The findings by the court came in response to a query by a Principal Magistrate of a Juvenile Justice Board (JJB) in 2016, regarding the legality of multiple statements by a child victim as well as the validity of the statements recorded by NGOs or counsellors.

Answering the queries raised by the JJB magistrate, the high court said, ""The law allows the investigating agencies to record multiple statements of the victims. There is no prohibition on recording multiple statements by the police. A seemingly contradictory initial account is not a reason in itself to disbelieve the subsequent accounts by the victims. 

""The multiple statements placed by the investigating agency should be carefully scrutinized by the trial courts in order to ensure that complete justice is done.""

Giving reasons for its finding, the bench said that children ""do not disclose in one go but do so in piece meal"". 

""To accord the same treatment to a child as one would to an adult would result in grave injustice. It needs no elaboration that the children would be reluctant and unlikely to disclose an entire adverse experience in proper detail in their first statement to the police, let alone the necessary details.

""The fear for themselves or their family; an apprehension that they would be disbelieved; inability to identify themselves as victims; pressure or threats from the perpetrator; relationship to the perpetrator; fear of embarrassment, shame or self-blame; fear of stigmatization; lack of trust with the investigating agency amongst other would be some of the reasons which would act as barriers to a child making a disclosure of a complete incident in a single meeting,"" the court said.

Regarding the legality of recording of the minor victim's statement by an NGO or counsellor, the court said that the POCSO Act clearly establishes that the child's account of the incident be recorded only by a police officer and/or a magistrate and not by any third party.

""The law has also clearly delineated specifically even the gender, attire, manner and the place at which such statement would be recorded,"" it said.

A close scrutiny of the legislation would show that the law does not anywhere envisage recording of a statement of child victim by a counsellor or a report of any kind from a counsellor about his/her interactions with the child, the bench added.

""It is trite that where law prescribes, the manner in which an act has to be performed, it has to be performed in that manner or not at all,"" the bench said and added that the role of a counsellor or an NGO representative was only to be present at the time of recording of statement, to assist the child and ""not assist in the investigation,"" the court said.

The court also said that reports of an NGO or a counsellor relating to a child in need of care and protection or in conflict with law ""are required to be treated as confidential"". 

""The confidentiality thus attached to the report by any person or expert is absolute. So far as the victim is concerned, other than the police or the magistrate, no person or authority is authorized to take any forensic interviews. 

""For this reason as well, it would be the grossest illegality for any of the person, experts and authorities under the POCSO Act or the JJ Act to make reports which could have any bearing on the case,"" it said.

",https://timesofindia.indiatimes.com/india/discrepancies-need-not-discredit-child-victims-depositions-in-sexual-abuse-cases-hc/articleshow/65274433.cms,4 Aug 2018, 23:22
37,"It's not 'jungle raj' but 'rakshas raj' in Bihar, alleges Tejashwi Yadav","NEW DELHI: RJD leader Tejashwi Yadav on Saturday tore into beleaguered Bihar chief minister Nitish Kumar, alleging that the Muzaffarpur incident has showed that there is not 'jungle raj' (misrule) but 'rakshas raj' (devil's rule) in the state.


The Leader of Opposition in the Bihar Assembly was addressing a gathering at Jantar Mantar here during an RJD-led protest, in which leaders of a number of opposition parties joined in to show solidarity with the victim girls.

The alleged sexual exploitation of girls at a shelter-home in Muzaffarpur had come to light in a social audit conducted by Mumbai-based Tata Institute of Social Sciences (TISS).

An FIR was lodged by the state social welfare department in June, which led to the arrest of 10 people.

Medical reports have confirmed sexual abuse of more than 30 girls formerly lodged at the shelter home, which has since been sealed. The case was handed over to the CBI last week.

Kumar had yesterday expressed remorse over the sexual abuse of girls at the state-funded shelter-home and asserted that he would ensure the rule of law prevailed in the state.

""It is good that 'Chachaji' (Nitish Kumar) broke his silence on the issue yesterday... But, has his conscience been pricked? Earlier his conscience would be pricked on the smallest of issues. We did the cycle rally from Gaya and today, we have gathered here to demand justice for those girls,"" Tejashwi said.

Even after being alerted, the action was taken months later, he said, alleging, ""Is this an attempt to destroy the evidence as in the Srijan case.""

""Today, as a Bihari, I hang my head in shame. What has happened in this case, shows that it is not 'jungle raj' (misrule) but 'rakshas raj' (devil's rule) in the state,"" he said.

He invoked the characters of Duryodhan from Mahabharta and Ravana from Ramayana to target the chief minister.

""There are 'Duryodhans' robbing the honour of women and 'Ravanas' abducting them in the state,"" he alleged.

Tejashwi demanded a probe monitored by the Supreme Court and that the girls be shifted to Delhi and provided safety.

""Nitishji talks about girls education and protection but such heinous crimes happen right under the nose of the government. One can see difference in words and deeds. Also, the one of the girls, who had maximum information on this crime, was shifted to another shelter-home in Madhubani. And, reportedly, she has also gone missing,"" he alleged.

""We are here protesting to seek speedy justice for those girls,"" he said. 

",https://timesofindia.indiatimes.com/india/its-not-jungle-raj-but-rakshas-raj-in-bihar-alleges-tejashwi-yadav/articleshow/65274423.cms,4 Aug 2018, 23:21
38,"AAP rejects Punjab unit leaders' resignations, tries to keep flock together

AAP rejects Punjab unit leaders' resignations, tries to keep flock together","CHANDIGARH: As the crisis-ridden AAP's Punjab unit tries to keep its flock together, a party meeting on Saturday rejected the resignations which the state president and a co-president had submitted in March.


The state unit also announced two events in the coming days, which may help it counter a recent show of strength by the rebel faction led by Sukhbir Singh Cheema.

Sangrur MP Bhagwant Mann and Sunam MLA Aman Arora had resigned as the state unit's president and co-president, respectively, to protest against party chief Arvind Kejriwal's decision to apologise to an Akali leader.

State unit co-president Balbir Singh told reporters here that the office bearers have now requested Mann and Arora to continue to lead the AAP in Punjab.

""Bhagwant Mann was the state president of the party and he will remain so. We have sent our recommendations to the national leadership and we are sure that they will agree with what we have decided today,"" he said.

The two leaders had submitted their resignations from the posts after Kejriwal apologised to SAD leader Bikram Majithia for alleging that he was involved in the drug trade.

Senior Aam Aadmi Party leader Manish Sisodia, who is the party's state affairs in-charge, will address an event in Jalandhar on August 13.

On August 15, another party conference will be held at Issru, in which MP Bhagwant Mann and party MLAs will take part.

The current crisis in the Punjab unit erupted after the national leadership replaced Bolath MLA Sukhbir Khaira as Leader of Opposition in the state assembly, naming Harpal Singh Cheema in his place.

Seven other MLAs, out of the 20 the party has in Punjab, then openly come out in Khaira's support, holding a convention in Bathinda on Thursday.

After today's meeting, Cheema dismissed the ""ultimatum"" served by rebel group MLAs who have asked the party to review its decision to replace Khaira.

But he said the party was in touch with Khaira and trying to persuade him to fall in line.

""We are persuading the MLAs to desist from indulging in anti-party activity,"" he said.

When asked if such ""anti-party activity"" will weaken the AAP, Cheema replied, ""After this crisis, the party will emerge stronger, you will see"".

""The party is united,"" he told reporters.

He said the recent developments had not shaken the faith of people in AAP's Punjab unit.

The AAP's state leadership has also decided to invite Arvind Kejriwal to hold a rally in Punjab in October, Balbir Singh said.

At that rally, Kejriwal, Sisodia and Mann will announce the AAP's plans for the 2019 general election, he said.

Meanwhile, the state's unit women's wing demanded that Khaira should apologise for the manner in which two women MLAs, Rupinder Kaur Ruby and Sarabjit Kaur Manuke, were ""targeted"" by his supporters on social media.

Women wing's leader Baljinder Kaur alleged that MLAs were abused for not attending the rebels' Bathinda convention.


",https://timesofindia.indiatimes.com/india/aap-rejects-punjab-unit-leaders-resignations-tries-to-keep-flock-togetheraap-rejects-punjab-unit-leaders-resignations-tries-to-keep-flock-together/articleshow/65274365.cms,4 Aug 2018, 23:18
39,5 terrorists killed in Shopian encounter; locals clash with forces,"SRINAGAR: Five terrorists belonging to Lashkar-e-Taiba (LeT) and Hizbul Mujahideen (HM) were killed in an encounter with security forces in Kiloora area of Shopian district in South Kashmir on Saturday morning. Later, clashes broke out between security forces and local protesters during the terrorists’ funeral, where dreaded Pakistani terrorist Naveed Jatt, who had escaped from prison, showed up.


The slain terrorists have been identified as Arshad Ahmad of Ganowpora Balpora, Waqar Ahmad Sheikh of Malikgund, Aijaz Ahmad Paul of Lousdanew, Umar Malik of Malikgund (all from Shopian) and Arif Ahmad of Yannar village in Pahalgam of Anantnag district.

Thousands of people, including gun-wielding local and Pakistani LeT terrorists, joined the funeral of the slain militants in Shopian. Naveed Jatt was seen at the funeral site, where the crowds gave gun salute to the slain militants, sources said. Many people in the crowd were seen hugging and kissing the Pakistani terrorist, they added.

During the funeral of Arif, the slain terrorist from Pahalgam, locals clashed with security forces. One civilian was killed and several others were injured in the clashes. Sources said clashes broke out in Yannar village after the news of the death of Arif reached there. Village youths pelted stones at the forces, who retaliated by firing teargas shells and pellets.

In a statement, HM chief Syed Salahuddin said, “Our bravehearts are sacrificing their lives for the freedom of the nation. These brave sons of the soil are rendering invaluable sacrifices while leaving lives of luxury. We are indebted to safeguard these sacrifices.”

According to the police, security forces had zeroed in on the terrorists late last night. During search operation on Saturday morning, the militants holed up in a house in Kiloora area opened fire, triggering the encounter.


",https://timesofindia.indiatimes.com/india/5-terrorists-killed-in-shopian-encounter-locals-clash-with-forces/articleshow/65274338.cms,4 Aug 2018, 23:09
40,Unarmed intruder shot dead by CRPF men at Farooq’s house,"JAMMU: An unarmed intruder who barged into former Jammu and Kashmir chief minister Farooq Abdullah’s house after smashing its gate with his SUV was shot dead by CRPF jawans here on Saturday. Farooq, a Lok Sabha MP, was in New Delhi for the Parliament session when the attack took place.


Sources said the 26-year-old intruder, identified as Murad Hussain Shah from Mendhar in Poonch district, entered Farooq’s house in the Bhatindi area after breaching the security barricade. He got into a scuffle with security guards in the garden, injuring one of them, and then rushed inside the house. Murad got into the house from the rear gate, which is used by Farooq and his family members, sources said.

“Murad Hussain Shah rammed his black SUV against the main gate around 10.30am. He then entered the house, ransacking everything that came his way. He was shot dead near the stairs that led to the bedrooms of the house. No weapon was recovered from the vehicle or from the deceased,” police sources said.

Police are not clear about the motive behind the intrusion. “We are investigating the matter,” SSP Jammu Vivek Gupta said, adding that initial reports suggested that Murad was able to gain entry through the front door.

The district collector has ordered a magisterial probe into the incident and an FIR has been filed against Murad under various sections of the IPC, including section 307 (attempt to murder).

Murad’s father Imzad Hussain Shah, who runs a gun factory at Ban-Talab area here, questioned why his son was shot and not arrested at the gate instead. “I want to know why he was killed. Where were the security guards when he breached the gate? Why didn't they arrest him?"" he said.

Locals also suggested that the killing was “mysterious”, saying the youth was often seen entering Farooq’s house before. “He belonged to a well-to-do family with great political connections,” said a neighbour requesting anonymity.

However, a CRPF officer said that Murad was shot only after he ignored several warnings and went on to vandalise Farooq’s house.

Soon after the attack, Farooq’s son and National Conference leader Omar Abdullah tweeted: “I am aware of the incident that took place at the residence my father & I share in Bhatindi, Jammu. Details are sketchy at the moment. Initial reports suggest an intruder was able to gain entry through the front door & into the upper lobby of the house.”

(With agency inputs)

",https://timesofindia.indiatimes.com/india/unarmed-intruder-shot-dead-by-crpf-men-at-farooqs-house/articleshow/65274329.cms,5 Aug 2018, 04:12
41,"Centre, FCI to build more foodgrain storage capacity in Punjab, Haryana","CHANDIGARH: The Centre and Food Corporation of India has taken a major initiative to improve the storage capacity of foodgrains in Punjab and Haryana, Union minister Ram Vilas Paswan said today.


He said that while silos of 4 lakh metric tonne (LMT) are under construction in Punjab by FCI, more silos of 21 LMT in Punjab and 9.5 LMT in Haryana respectively are being proposed to be built by FCI and State Governments.

The minister for consumer affairs, food and public distribution, said that the efficiency of food procuring agencies has also increased over the years thereby improving the management of food grains.

He apprised that in Punjab, 44 per cent of urban and 54 per cent of rural population have been covered under Public Distribution System while it is 29 per cent of urban and 71 per cent of rural population for the state of Haryana.

Speaking to reporters here after a meeting with the FCI officials, Paswan said that that the number of ration card holders in Punjab and Haryana is 35.26 lakh and 26.50 lakh respectively.

The Minister said that State of Punjab and Haryana procured 127 LMT and 87 LMT wheat respectively during Rabi Marketing Season (RMS) 2017-18 against the production of 166 LMT and 117 LMT of wheat.

While elaborating on the procurement of paddy, Paswan said that during Kharif Marketing Season 2017-18, State of Punjab and Haryana procured 176 LMT and 59 LMT paddy against the production of 201 LMT and 67 LMT.

Punjab and Haryana also procured 118 LMT and 40 LMT rice against this procurement of paddy.

He said that 83 per cent beneficiaries ration cards with Aadhaar cards had been linked so far.

As many as 2.62 crore Ration cards have been found to be fake, which works out to nearly 14 crore beneficiaries, saving Rs 17,000 crore of the ex-chequer, he said. 

",https://timesofindia.indiatimes.com/india/centre-fci-to-build-more-foodgrain-storage-capacity-in-punjab-haryana/articleshow/65274306.cms,4 Aug 2018, 23:04
42,Magisterial inquiry ordered into killing of man at Farooq Abdullah's Jammu residence,"JAMMU: A magisterial inquiry was ordered into the killing of a man by the security guards posted at the residence of former Jammu and Kashmir chief ministers Farooq Abdullah and his son Omar Abdullah here today, a senior government official said.


District development commissioner (Jammu) Ramesh Kumar ordered the probe following massive protests by relatives of the slain man, Syeed Murfad Shah, who would have turned 26 next month.

""Sub-divisional magistrate, Jammu North, will conduct the probe and submit his report within four weeks,"" Kumar told PTI.

Meanwhile, the National Conference (NC) sought a high level probe into the incident by the National Investigation Agency (NIA).

NC provincial spokesperson Madan Mantoo issued a statement here, saying, ""As Abdullah is a central government categorised protectee, the government of India should carry out its independent and impartial inquiry by a team deputed by the Ministry of Home Affairs.""

Expressing grave concern over the incident, the spokesperson said the probe must cover all aspects, including how a car was able to gain entry into the supposedly highly secured residence with minimum cosmetic damage, considering the strength of the main gate.

""The security lapse is needed to be probed expeditiously so that the truth comes to the fore,"" the he added.

Following noisy protests by the relatives of the deceased, the Jammu and Kashmir unit of BJP also demanded that an impartial and prompt investigation be conducted into the incident and CCTV footage released.

""BJP demands an impartial and prompt enquiry into the matter of fake encounter. To set at rest the apprehensions of the members of the family of deceased, the CCTV footage should be released to the media by police immediately,"" BJP state spokesperson Anil Gupta said in a statement here.

He said the ""cold-blooded"" murder in a VIP residence raises many questions.

""The family of the deceased is calling the incident a fake encounter and insists that their son was called by somebody to the residence of the former chief minister,"" he said.

Gupta said, quoting friends of the deceased, that the youth was not a drug addict, as was being alleged by some.

In a major security breach this morning, the man rammed his car into the front gate of the residence of Farooq Abdullah and Omar Abdullah here, and vandalised the house before being shot dead by the CRPF personnel guarding the premises, police said.

Both Farooq and Omar Abdullah are Z-plus protectees. 


",https://timesofindia.indiatimes.com/india/magisterial-inquiry-ordered-into-killing-of-man-at-farooq-abdullahs-jammu-residence/articleshow/65274224.cms,4 Aug 2018, 22:52
